LHD Name,Year Established,Telephone,Fax,Email,Website,Administrator,Area Served,Region Served,LHD Address 1,LHD City State ZIP,After Hours Phone,After Hours Method
Chicago Department of Public Health,1834,(312) 747-9884,(312) 747-9739,allison.arwady@cityofchicago.org,www.cityofchicago.org/health,Allison Arwady,City of Chicago,Bellwood Region,333 South State Street,"Chicago, IL 60604",,
Christian County Department of Public Health,1966,(217) 820-1651,(217) 824-4380,denise.larson@christiancountyhealth.org,www.christiancountyhealth.net,Denise Larson,Christian County,Edwardsville Region,902 West Springfield Road,"Taylorville, IL 62568",(217) 820-1651,Administrator - Denise Larson
Clark County Health Department,1996,(217) 382-4207,(217) 382-4810,chayden@clarkhd.org,www.clarkhd.org  *see notes for more phone numbers,Cathy Hayden,Clark County,Champaign Region,997 North York Street,"Martinsville, IL 62442",(217) 826-6393,Clark County Sheriff's Office
Clay County Health Department,1966,(618) 662-4406,(618) 662-2801,jworkman@healthdept.org,www.healthdept.org,"Jeff Workman, B.S.",Clay County,Marion Region,601 East 12th Street,"Flora, IL 62839",(618) 662-4406,Connects to Answering Service
Clinton County Health Department,1995,(618) 594-2723,(618) 594-5474,health@clintonco.illinois.gov,www.clintoncountyhealth.com,Sean Eifert (interim),Clinton County,Edwardsville Region,930 Fairfax Street,"Carlyle, IL 62231",(618) 594-4555,Sheriff
Coles County Health Department,1976,(217) 348-5030,(217) 348-5322,dstenger@co.coles.il.us,www.co.coles.il.us/cchd/index.html,Diana Stenger,Coles County,Champaign Region,825 18th Street,"Charleston, IL 61920-9391",(217) 345-0060,Coles Sheriff's Office Non Emergency
Cook County Department of Public Health,1945,(708) 633-4000,,temason@cookcountyhhs.org,www.cookcountypublichealth.org,"Terry Mason, M.D.",Cook County,Bellwood Region,15900 S. Cicero Avenue Building E,"Oak Forest, IL 60452",(708) 633-4000,
Crawford County Health Department,1991,(618) 544-8798,(618) 544-9398,dktracy@cchd.net,www.cchd.net,Darla Tracy,Crawford County,Marion Region,202 N. Christopher Blvd.,"Robinson, IL 62454",(618) 546-1515,Crawford County Sheriff's Office
Cumberland County Health Department,1983,(217) 849-3211,(217) 849-3121,shd@cumberlandhealth.org,www.cumberlandhealth.org,Sheri Drotor,Cumberland County,Champaign Region,200 S. Indiana,"Toledo, IL 62468",(217) 232-3211,Administrator
DeKalb County Health Department,1966,(815) 758-6673,(815) 748-2485,lgonzalez@dekalbcounty.org,health.dekalbcounty.org,"Lisa Gonzalez, M.P.H.",DeKalb County,Rockford Region,2550 North Anne Glidden Road,"DeKalb, IL 60115",(815) 758-6673,Lisa Gonzalez
DeWitt-Piatt Bi-County Health Department,1945,(217) 935-3427,(217) 935-4037,dremmert@dewittpiatthealth.com,www.dewittpiatthealth.com/,David Remmert,DeWitt and Piatt Counties,Champaign Region,5924 Revere Road,"Clinton, IL 61727",(217) 519-3380,Administrator
Douglas County Health Department,1966,(217) 253-4137,(217) 253-3421,amanda.minor@douglascountyil.com,dchealthdept.org,Amanda Minor,Douglas County,Champaign Region,1250 E. U.S. Highway 36,"Tuscola, IL 61953",(217) 253-2913,Douglas County Sheriff
DuPage County Health Department,1944,(630) 682-7400,,kayala@dupagehealth.org,www.dupagehealth.org,Karen J. Ayala,DuPage County,West Chicago Region,111 North County Farm Road,"Wheaton, IL 60187",(630) 682-7207,
East Side Health District Administrative Office,1937,(618) 271-8722,(618) 875-5038,epatton@eshd.org,www.eastsidehealthdistrict.org,Elizabeth Patton-Whiteside,"Canteen, Stites, Centreville, & E. St. Louis",Edwardsville Region,650 North 20th Street,"East St. Louis, IL 62205-1812",(618) 409-7855,Cell
Edgar County Public Health Department,1994,(217) 465-2212,(217) 465-1121,jmason@ecphd.org,ecphd.org,Janet Mason,Edgar County,Champaign Region,502 Shaw Avenue,"Paris, IL 61944",(217) 251-5440,Administrator
Effingham County Health Department,1946,(217) 342-9237,(217) 342-9324,jeffw@effcohealth.org,www.effcohealth.org,"Jeff Workman, B.S.",Effingham County,Marion Region,901 West Virginia,"Effingham, IL 62401",(217) 342-2101,Effingham County Sheriff's Office
Egyptian Health Department,1950,(618) 273-3326,(618) 273-2808,jbyrd@egyptian.org,www.egyptian.org,James Byrd,"Gallatin, Saline, and White Counties",Marion Region,1412 U.S. 45 North,"Eldorado, IL 62930-9324",(618) 518-0513,Cell Phone Number
Evanston Department of Health and Human Services,1874,847-448-8289,(847) 448-8141,iogbo@cityofevanston.org,www.cityofevanston.org/Health,Ikenga Ogbo (interim),City of Evanston,Bellwood Region,2100 Ridge Avenue,"Evanston, IL 60201",(847) 448-4311,
Fayette County Health Department,1976,(618) 283-1044,(618) 283-5038,mstorck@fayettehealthdept.org,www.fayettehealthdept.org,Melissa Storck,Fayette County,Marion Region,416 West Edwards Street,"Vandalia, IL 62471",(618) 463-2404,Sheriff
Ford County Health Department,1980,(217) 379-9281,(217) 379-2802,lsample@fordcountyphd.org,www.fordcountyphd.org,Lana Sample,Ford County,Champaign Region,235 North Taft Street,"Paxton, IL 60957",(217) 766-4902,Administrator
Franklin-Williamson Bi-County Health Department,1958,(618) 993-8111,(618) 993-6455,kkaytor@bicountyhealth.org,www.bicountyhealth.org,Kevin Kaytor,Franklin and Williamson Counties,Marion Region,8160 Express Drive,"Marion, IL 60957",(618) 993-8111,Connects to Answering Service
Fulton County Health Department,1946,(309) 647-1134,(309) 647-9545,klynn@fultonco.org,www.fultoncountyhealth.com,Katie Lynn,Fulton County,Peoria Region,700 East Oak Street,"Canton, IL 61520",(309) 547-2277,Sheriff Dispatch
Greene County Health Department,1969,(217) 942-6961,(217) 941-3904,rflowers@greenecountyhealth.com,www.greenecountyhealth.com,"Ruth Ann Flowers, R.N., B.S.",Greene County,Edwardsville Region,310 Fifth Street,"Carrollton, IL 62016",(217) 942-6961,Health Department
Grundy County Health Department,1966,(815) 941-3113,(815) 941-2389,MPruim@grundyhealth.com,www.grundyco.org/health/,Michelle Pruim,Grundy County,West Chicago Region,1320 Union Street,"Morris, IL 60450",(815) 942-0336,
Hamilton County Health Department,1990,(618) 643-3522,(618) 643-2390,cdgriffith@wchdil.com,www.hchdil.com/index.html,Clark Griffith,Hamilton County,Marion Region,"County Courthouse, Room 5","McLeansboro, IL 62859",(618) 643-3522,Connects to Sheriff’s Office After Hours
Hancock County Health Department,1977,(217) 357-2171,(217) 357-3562,amymccallister@hchd1.org,www.hancockhealth.info,Amy McCallister,Hancock County,Peoria Region,671 Wabash Avenue,"Carthage, IL 62321",(309) 255-2418,Administrator - Amy Mcalister
Henderson County Health Department,1978,(309) 627-2812,(309) 627-2793,angela.myers@hendcohealth.com,www.hendcohealth.com,Angela Myers,Henderson County,Peoria Region,208 West Elm,"Gladstone, IL 61437-0220",(309) 867-4291,Sheriff Dispatch
Henry County Health Department,1966,(309) 852-0197,(309) 852-0595,dstevens@henrystarkhealth.org,www.henrystarkhealth.com,Duane Stevens,Henry County,Peoria Region,4424 U.S. Highway 34,"Kewanee, IL 61443",(309) 852-0197,Answering Service
Iroquois County Public Health Department,2014,(815) 432-2483,(815) 432-2198,dschippert@co.iroquois.il.us,www.co.iroquois.il.us,"Dee Ann Schippert, RN, BSN",Iroquois County,Champaign Region,1001 East Grant,"Watseka, IL 60970",(815) 432-4918,Iroquois County 911 Dispatch (ICOM)
Jackson County Health Department,1948,(618) 684-3143,(618) 684-6023,BartH@jchdonline.org,www.jchdonline.org,Bart Hagston (interim),Jackson County,Marion Region,415 Health Department Road,"Murphysboro, IL 62966",(800) 875-0162,Answering Service
Jasper County Health Department,1975,(618) 783-4436,(618) 783-4146,driddle@jasperhealth.org,www.jasperhealth.org,Deborah Riddle,Jasper County,Marion Region,106 East Edwards Street,"Newton, IL 62448",(618) 783-8477,Jasper County Sheriff
Jefferson County Health Department,1992,(618) 383-3025,(618) 244-2640,aharrison@jchdil.org,,Amy Harrison,Jefferson County,Marion Region,#1 Doctors Park Road,"Mr. Vernon, IL 62864",(618) 383-3025,Cell Phone Number
Jersey County Health Department,1966,(618) 498-9565,(618) 498-6291,dking@jerseycountyhealth.org,www.jerseycountyhealth.org,Douglas Nelson King,Jersey County,Edwardsville Region,1307 State Highway 109,"Jerseyville, IL 62052",(618) 463-2921,Answering Service
Jo Daviess County Health Department,1948,(815) 777-0263,(815) 777-2977,publichealth@jodaviess.org,www.jodaviess.org,Sandra Schleicher (interim),Jo Daviess County,Rockford Region,9483 U.S. Rt. 20 West,"Galena, IL 61036",(815) 777-2141,Sandra Schleicher
Kane County Health Department,1985,(630) 208-3801,(630) 208-5147,jeffersbarbara@co.kane.il.us,www.kanehealth.com,"Barbara Jeffers, M.P.H.",Kane County,West Chicago Region,1240 North Highland Avenue,"Aurora, IL 60506",(630) 208-3801,
Kankakee County Health Department,1985,(815) 802-9394,(815) 802-9391,jbevis@kankakeehealth.org,www.kankakeehealth.org,John Bevis,Kankakee County,West Chicago Region,2390 W. Station St.,"Kankakee, IL 60901",,
Kendall County Health Department,1966,(630) 553-9100,(630) 553-9506,atokars@co.kendall.il.us,www.kendallhealth.org,Dr. Amaal V.E. Tokars,Kendall County,West Chicago Region,811 West John Street,"Yorkville, IL 60560",,
Knox County Health Department,1992,(309) 344-2224,(309) 344-5049,mgabriel@knoxcountyhealth.org,www.knoxcountyhealth.org,Michelle Gabriel,Knox County,Peoria Region,1361 West Fremont Street,"Galesburg, IL 61401",(309) 343-9151,Sheriff Dispatch
Lake County Health Department,1956,(847) 377-8000,(847) 984-5619,mpfister@lakecountyil.gov,www.lakecountyil.gov/health,"Mark A. Pfister, MSES, LEHP",Lake County,West Chicago Region,3010 Grand Avenue,"Waukegan, IL 60085",(224) 355-5675,
LaSalle County Health Department,1986,(815) 433-3366,(815) 433-9522,jkerestes@lasallecounty.org,www.lasallecounty.org/hd,Julia Kerestes,LaSalle County,Peoria Region,717 Etna Road,"Ottawa, IL 61350",(815) 433-2161,Sheriff Dispatch
Lawrence County Health Department,1958,(618) 943-3302,(618) 943-7589,amarley@lchealth.com,www.lchealth.com,Amy Jo Marley,Lawrence County,Marion Region,11362 Country Club Rd.,"Lawrenceville, IL 62439",(618) 943-5766,Lawrence County Dispatch
Lee County Health Department,1946,(815) 284-3371,(815) 288-1811,cferguson@lchd.com,www.lchd.com,"Cathy Ferguson, M.P.H",Lee County,Rockford Region,"309 South Galena, Suite 100","Dixon, IL 61021",(815) 973-0830,Cathy Ferguson-Allen
Livingston County Health Department,1966,(815) 844-7174,(815) 842-1063,jdever@lchd.us,www.lchd.us,Jackie Dever,Livingston County,Champaign Region,310 E. Torrance Ave,"Pontiac, IL 61764",(815) 822-2178,Cell
Logan County Health Department,1970,(217) 735-2317,(217) 732-6943,dcavi@lcdph.org,www.lcdph.org,Donald A. Cavi,Logan County,Peoria Region,109 3rd Street,"Lincoln, IL 62656-0508",(217) 871-5340,Mary Anderson
Macon County Health Department,1962,(217) 423-6988,(217) 423-7436,bbinkley@maconcountyhealth.org,www.maconcountyhealth.org,Brandi Binkley,Macon County,Champaign Region,1221 East Condit Street,"Decatur, IL 62521-1405",(217) 875-8567,Decatur Memorial Hospital
Macoupin County Health Department,1983,(217) 854-3223,(217) 854-3225,ktarro@mcphd.net,www.mcphd.net,"Kent A. Tarro, B.S., M.S.",Macoupin County,Edwardsville Region,805 North Broad Street,"Carlinville, IL 62626",(217) 854-3135,Sheriff
Madison County Health Department,1994,(618) 692-8954,(618) 296-7011,tmcorona@co.madison.il.us,www.co.madison.il.us/departments/health/index.php,Toni Corona,Madison County,Edwardsville Region,101 East Edwardsville Road,"Wood River, IL 62095",(618) 463-6957,Answering Service
Marion County Health Department,1993,(618) 548-3878,(618) 548-3866,mmallow@ussonet.net,www.marioncountyhealthdept.org,Melissa Mallow,Marion County,Marion Region,118 Cross Creek Blvd.,"Salem, IL 62881",(618) 322-3878,Cell Phone Number
Marshall County Health Department,1985,(309) 246-8074,(309) 246-3787,hgomez@bchealthdepartment.org,www.marshallcountyhealth.org,Hector Gomez (interim),Marshall County,Peoria Region,319 6th St.,"Lacon, IL 61540",(309) 246-2115,Sheriff Dispatch
Mason County Health Department,1978,(309) 210-0110,(309) 543-2063,cjibben@mchd.onmicrosoft.com,www.masoncohealth.com,Curt Jibben,Mason County,Peoria Region,1002 East Laurel Ave.,"Havana, IL 62644",(309) 222-0213,Administrator - Curt Giben
McDonough County Health Department,1975,(309) 837-9951,(309) 837-1100,lcale@mchdept.com,www.mchdept.com,"Lynnette Cale, M.S., C.H.E.S.",McDonough County,Peoria Region,505 East Jackson Street,"Macomb, IL 61455",(309) 837-9951,Answering Machine with Instructions
McHenry County Department of Health,1966,(815) 334-4575,(815) 334-4635,mhadamson@mchenrycountyil.gov,www.co.mchenry.il.us,"Melissa H. Adamson, M.P.H.",McHenry County,West Chicago Region,2200 North Seminary Avenue,"Woodstock, IL 60098",(815) 344-7421,
McLean County Health Department,1946,(309) 888-5450,(309) 452-8479,tammy.brooks@mcleancountyil.gov,health.mcleancountyil.gov,Tamara Brooks,McLean County,Champaign Region,200 West Front St.,"Bloomington, IL 61701",(888) 865-9903,PATH/211
Menard County Health Department,1966,(217) 535-3102,,gail.oneill@co.sangamon.il.us,menardcountyil.com/departments/health-department,Gail O'Neill,Menard County,Peoria Region,1120 N. 4th Street,"Petersburg, IL 62675",(217) 753-6666,Other - Diana Wade
Mercer County Health Department,1989,(309) 582-3759,(309) 582-3793,carla.ewing@mchdept.org,www.mercercountyil.org/Departments/Health.aspx,Carla Ewing,Mercer County,Peoria Region,305 Northwest Seventh Street,"Aledo, IL 61231",(309) 582-5194,Sheriff Dispatch
Monroe County Health Department,1966,(618) 939-3871,(618) 939-4459,jwagner@monroecountyhealth.org,www.monroecountyhealth.org,"John Wagner, B.S., L.E.H.P",Monroe County,Edwardsville Region,901 Illinois Avenue,"Waterloo, IL 62298",(618) 939-8651,Sheriff
Montgomery County Health Department,1945,(217) 532-2001,(217) 532-6361,hsatterlee@consolidated.net,www.montgomeryco.com/health,Hugh Satterlee,Montgomery County,Edwardsville Region,11191 Illinois Route 185,"Hillsboro, IL 62049",(217) 556-1455,Administrator - Hugh Satterlee
Morgan County Health Department,1944,(217) 245-5111,(217) 243-4773,dale.bainter@morganhd.com,www.morganhd.com,Dale Bainter,Morgan County,Edwardsville Region,345 West State Street,"Jacksonville, IL 62650",(217) 245-5111,Other
Moultrie County Health Department,1998,(217) 728-4114,(217) 728-2650,angela@moultriehealth.org,www.moultriecountyil.com,"Angela Hogan, R.N., M.S.P.H.",Moultrie County,Champaign Region,202 South Main Street,"Sullivan, IL 61951",(217) 728-4386,Moultrie County Sheriff's Department
Oak Park Department of Public Health,1949,(708) 358-5480,(708) 358-5115,mcharley@oak-park.us,www.oak-park.us/health,Michael T. Charley (Interim),Village of Oak Park,Bellwood Region,1 Village Hall Plaza,"Oak Park, IL 60302",(708) 771-9110,
Ogle County Health Department,1966,(815) 732-7330,(815) 732-7458,kauman@oglecounty.org,www.oglecountyhealthdepartment.org,Kyle B. Auman,Ogle County,Rockford Region,907 West Pines Road,"Oregon, IL 61061",(815) 732-2136,Kyle Auman
Peoria City/County Health Department,1974,(309) 679-6101,(309) 679-6609,mhendrickson@peoriacounty.org,www.peoriacounty.org,"Monica Hendrickson, MPH",City and County of Peoria,Peoria Region,2116 North Sheridan Road,"Peoria, IL 61604",(309) 679-6000,Answering Service
Perry County Health Department,1977,(618) 357-5371,(618) 357-3190,bstevenson@perryhealth.org,www.perryhealth.net,Barbara Stevenson,Perry County,Marion Region,907 South Main Street,"Pickneyville, IL 62274",(618) 357-5371,Telephone System Allows Callers to Connect to Staff After Hours
Pike County Health Department,1966,(217) 285-4407,(217) 285-4639,aandress@pikecoilhealth.org,www.pikecountyil.org/health,"Anita Andress, R.N., B.S.N.",Pike County,Edwardsville Region,606 West Adams,"Pittsfield, IL 62363",(800) 377-8130,After Hours Nurse
Putnam County Health Department,1985,(815) 925-7326,(815) 725-7001,hgomez@bchealthdepartment.org,www.bchealthdepartment.org,Hector Gomez (interim),Putnam County,Peoria Region,220 East High Street,"Hennepin, IL 61327",(815) 925-7015,Sheriff Dispatch
Randolph County Health Department,1966,(618) 826-5007,(618) 826-5223,aoathout@randolphco.org,am.randolphco.org/index.php/welcome,Angela Oathout,Randolph County,Edwardsville Region,2515 State Street,"Chester, IL 62233-1149",(618) 826-5484,Sheriff
Rock Island County Health Department,1966,(309) 793-1955,(309) 794-7091,nludwig@co.rock-island.il.us,www.richd.org,Nita Ludwig,Rock Island County,Peoria Region,2112 25th Avenue,"Rock Island, IL 61201",(309) 794-1230,Sheriff Dispatch
Sangamon County Health Department,1988,(217) 535-3100,(217) 535-3104,gail.oneill@co.sangamon.il.us,www.scdph.org,Gail O'Neill,Sangamon County,Edwardsville Region,2833 South Grand Avenue East,"Springfield, IL 62703",(217) 753-6666,Other - Diana Wade
Schuyler County Health Department,1983,(217) 322-6775,(217) 322-2138,lcale@mchdept.com,www.schuylercountyhealth.com,Lynette Cale,Schuyler County,Peoria Region,233 N. Congress,"Rushville, IL 62681",(217) 322-6775,Administrator - Lynnette
Scott County Health Department,1998,(217) 742-8203,(217) 742-8304,sshireman@scottchd.com,,"Stephen Shireman, M.A.",Scott County,Edwardsville Region,335 W. Cherry,"Winchester, IL 62694",(217) 742-3141,Administrator - Steve Shireman
Shelby County Health Department,1946,(217) 774-9555,(217) 774-2355,steve@shelbyhealth.net,www.shelbyhealth.net,"Stephen L. Melega, M.A., H.S.A.",Shelby County,Edwardsville Region,1700 West South Third Street,"Shelbyville, IL 62565",(217) 774-3941,Shelby County Sheriff's Office
Skokie County Health Department,1960,(847) 933-8252,(847) 673-8606,catherine.counard@skokie.org,www.skokie.org/HDMain.cfm,"Catherine A. Counard, M.D., M.P.H.",Village of Skokie,Bellwood Region,5127 Oakton Street,"Skokie, IL 60077",(847) 982-5900,Skokie PD: Ask for the Health Department Supervisor on call
Southern Seven Health Department,1979,(618) 634-2297,(618) 634-9394,rray@s7hd.org,www.southern7.org,Rhonda Andrews-Ray,"Alexander, Hardin, Johnson, Massac, Pope, Pulaski, Union",Marion Region,37 Rustic Campus Drive,"Ullin, IL 62992",(800) 358-7367,Answering Service
St. Clair County Health Department,1985,(618) 233-7703,(618) 233-7713,barb.hohlt@co.st-clair.il.us,www.health.co.st-clair.il.us,Barbara A. Hohlt,St. Clair County,Edwardsville Region,#19 Public Square,"Belleville, IL 62220",(618) 301-2907,Cell
Stark County Health Department,1990,(309) 852-0197,(309) 852-0595,dstevens@henrystarkhealth.org,www.henrystarkhealth.com,Duane Stevens,Stark County,Peoria Region,4424 U.S. Hwy 34,"Kewanee, IL 61443",(309) 852-0197,Answering Service
Stephenson County Health Department,1966,(815) 235-8271,(815) 232-7160,craig.beintema@co.stephenson.il.us,www.co.stephenson.il.us/health,Craig Beintema,Stephenson County,Rockford Region,10 West Linden Street,"Freeport, IL 61032",(815) 235-8252,Craig Beintema
Stickney Township Public Health District,1946,(708) 424-9200,(708) 499-5427,cgrunow@stickneypublichealthdistrict.org,www.stickneypublichealthdistrict.org,"Christopher Grunow, Psy. D",Stickney Township,Bellwood Region,5635 State Road,"Burbank, IL 60459",(708) 703-7240,
Tazewell County Health Department,1970,(309) 925-5511,(309) 925-4381,afox@tchd.net,www.tazewellhealth.org,Amy Fox,Tazewell County,Peoria Region,21306 Illinois Route 9,"Tremont, IL 61568-9252",(309) 303-1375,On-Call Cell
Vermilion County Health Department,1952,(217) 431-2662,(217) 431-7483,dtoole@vchd.org,www.vchd.org,Doug Toole,Vermillion County,Champaign Region,200 South College,"Danville, IL 61832",(217) 304-3234,Administrator
Wabash County Health Department,1983,(618) 263-3873,(618) 262-4215,jwissel@wabashhealth.org,www.wabashhealth.org,Judy Wissel,Wabash County,Marion Region,130 West Seventh Street,"Mt. Carmel, IL 62863",(618) 262-6715,Cell Phone Number
Warren County Health Department,2006,(309) 734-1314,(309) 734-1315,jlink@warrencohealth.com,www.warrencohealth.com,Jenna Link,Warren County,Peoria Region,240 South Main St.,"Monmouth, IL 61462",(309) 734-8505,Sheriff Dispatch
Washington County Health Department,1991,(618) 327-3644,(618) 327-4229,wchd189@yahoo.com,www.washingtonco.illinois.gov/health-department,Elizabeth Lehde,Washington County,Edwardsville Region,177 South Washington Street,"Nashville, IL 62263",(618) 327-3644,Answering Machine with After Hours Contact Information
Wayne County Health Department,1988,(618) 842-5166,(618) 842-3305,cdgriffith@wchdil.com,www.wchdil.com,Clark Griffith,Wayne County,Marion Region,405 North Basin Road,"Fairfield, IL 62837",(618) 842-5166,Connects to Answering Service
Whiteside County Health Department,1966,(815) 772-7411,(815) 772-4723,bfiorini@whitesidehealth.org,www.whitesidehealth.org,Beth Fiorini,Whiteside County,Rockford Region,18929 Lincoln Road,"Morrison, IL 61270",(815) 564-5610,Cheryl Lee
Will County Health Department,1946,(815) 727-8480,(815) 727-8484,solenek@willcountyhealth.org,www.willcountyhealth.org,Susan Olenek,Will County,West Chicago Region,501 Ella Avenue,"Joliet, IL 60433",(815) 727-8670,
Winnebago County Health Department,1970,(815) 720-4000,(815) 720-4203,smartell@wchd.org,www.wchd.org,"Sandra L. Martell, DNP",Winnebago County,Rockford Region,555 North Court Street,"Rockford, IL 61103",(815) 720-4000,Theresa James
Woodford County Health Department,1990,(309) 467-3064,(309) 467-5104,haggertt@woodford-county.org,www.woodfordhealth.org,Hillary Aggertt,Woodford County,Peoria Region,1831 S. Main Street,"Eureka, IL 61530",(309) 467-2375,Sheriff Dispatch
